20/06/2014 02:43:13 INFO Creacion de Solicitud de cambio id 2, hecho por ysapy
20/06/2014 02:43:19 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:44:22 INFO Modificacion de proyecto P3, hecho por ysapy
20/06/2014 02:44:26 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:48:30 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:48:35 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:51:40 INFO Listado de solicitudes realizadas, hecho por ysapy
20/06/2014 02:52:16 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:52:21 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:58:47 INFO Listado de solicitudes realizadas, hecho por ysapy
20/06/2014 02:59:01 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:59:31 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:59:36 INFO Listado de Solicitudes recibidas, hecho por ysapy
20/06/2014 03:00:26 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 03:09:14 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 03:09:22 INFO Listado de Solicitudes recibidas, hecho por ysapy
20/06/2014 03:09:36 INFO Votacion de solicitud con id 1, hecho por ysapy
20/06/2014 03:09:38 INFO Listado de solicitudes realizadas, hecho por ysapy
20/06/2014 03:09:44 INFO Consultad de solicitud con id 1, hecho por ysapy
20/06/2014 03:09:47 INFO Listado de Solicitudes recibidas, hecho por ysapy
20/06/2014 03:09:55 INFO Votacion de solicitud con id 2, hecho por ysapy
20/06/2014 03:09:59 INFO Logout de Usuario 
20/06/2014 03:10:06 INFO Login de Usuario marcelo
20/06/2014 03:10:07 INFO Administracion de Proyectos, hecho por marcelo
20/06/2014 03:10:09 INFO Listado de Solicitudes recibidas, hecho por marcelo
20/06/2014 03:10:17 INFO Votacion de solicitud con id 1, hecho por marcelo
20/06/2014 03:10:19 INFO Listado de solicitudes realizadas, hecho por marcelo
20/06/2014 03:10:21 INFO Listado de Solicitudes recibidas, hecho por marcelo
20/06/2014 03:10:28 INFO Votacion de solicitud con id 2, hecho por marcelo
20/06/2014 03:10:32 INFO Logout de Usuario 
20/06/2014 03:10:40 INFO Login de Usuario eduardo
20/06/2014 03:10:40 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 03:10:43 INFO Listado de Solicitudes recibidas, hecho por eduardo
20/06/2014 03:10:48 INFO Generacion de credencial id 1, hecho por eduardo
20/06/2014 03:10:51 INFO Listado de Solicitudes recibidas, hecho por eduardo
20/06/2014 03:10:59 INFO Generacion de credencial id 2, hecho por eduardo
20/06/2014 03:11:00 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 03:11:06 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por eduardo
20/06/2014 03:22:03 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por eduardo
20/06/2014 03:22:11 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 03:22:37 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 03:22:49 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 03:22:50 INFO Logout de Usuario 
20/06/2014 03:22:58 INFO Login de Usuario ysapy
20/06/2014 03:22:58 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 03:23:02 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 03:23:16 INFO Agregacion de miembros de comite None, hecho por ysapy 
20/06/2014 03:23:27 INFO Agregacion de miembros de comite None, hecho por ysapy 
20/06/2014 03:23:29 INFO Administracion de Roles, hecho por ysapy
20/06/2014 03:23:31 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 03:23:34 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 03:23:56 INFO Creacion de Solicitud de cambio id 3, hecho por ysapy
20/06/2014 03:24:12 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 03:24:20 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
